,Name,Summary,type
1,Alloprax ,"Oddities among mortalkin, the alloprax stand as a race infused with the touch of the far-realm.
",Aberations
2,Anamesa ,"Humanoids whose consciousness is divided between this realm and the next.
",Aberations
3,Banette ,"Cursed dolls who seek revenge against the ones who threw them away.
",Aberations
4,Beholderborn ,"A race of humanoids descended from the cursed Beholders.
",Aberations
5,Beholdertouched ,"Humans spliced with the genetics of a beholder to grant them superintelligence.
",Aberations
6,Blaad' Os ,"Humanoid squids with three red eyes. (Kind of like a miniature Cthulhu.)
",Aberations
7,Bone Splinter ,"Barbaric land-dwelling mollusks with origins in the Far Realm.
",Aberations
8,Bulbon ,"Mutated humans with alien-like features.
",Aberations
9,Dark Aberration ,"Tall beings like darkness materialized
",Aberations
10,Dark Ones ,"Homo Novus, the Dark Ones, are Mystic masters born in a radioactive world that was left to rot. They decided to thrive.
",Aberations
11,Elan ,"Elans are humans that have been remade into stronger beings able to survive on nothing but their mental energy.
",Aberations
12,Embodied Mouther ,"Gibbering Mouthers taken humanoid form, a race that battles with monstrous and aberrant origins.
",Aberations
13,Farspawn ,"As a child of the horrific and non-Euclidean denizens of the far realm, you can put your aberrant features to good use.
",Aberations
14,Flumph ,"The mysterious flumphs drift through the Underdark propelled through the air by the jets whose sound gives them their name.
",Aberations
15,Froslass ,"Female snow spirits known for freezing men and using their corpses to decorate their dens.
",Aberations
16,Gengar ,"Large rotund phantoms with a fondness for curses and an appetite for souls.
",Aberations
17,Gourgeist ,"Ghastly gourds known for their curse-bringing songs and love of terrorizing their prey.
",Aberations
18,Half-Satori Half-Phantom ,"You're half-undead, and a mind reader. Though your mere existence generates a great deal of mistrust towards your kind, your mixed heritage is still a powerful thing.
",Aberations
19,Hominapium ,"They're human sized bee people, and are either big bulky bumbles, or slender short killers
",Aberations
20,Illithid ,"Alien, frightening beings of great mental prowess and forceful personalities.
",Aberations
21,Kin Moon Presence ,"Monsters from another plane have given spawn to hybrid aberrations through virgin mothers.
",Aberations
22,Leuco ,"Humanoids born of a parasitic plague
",Aberations
23,Mimikyu ,"A small, mysterious creature both loved for its short stature and childishly crafted disguise and feared because no one knows what's actually underneath said disguise.
",Aberations
24,Moove ,"Aberrations from illithid experiments
",Aberations
25,Navarada ,"The navarada are ancient supernatural beings that live in shadows.
",Aberations
26,Primal Zerg ,"Creatures of widely different shapes and sizes who take on the features of any life form that can be eaten.
",Aberations
27,Sableye ,"Tiny, goblin-like, gem-eating Pokemon who reside in deep, dark caves.
",Aberations
28,Salori ,"A black, faceless, sentient ape with a set of tentacles to add to the horror.
",Aberations
29,Satori ,"Thoughts, memories; the mind cannot escape your third eye.
",Aberations
30,Scion of the Old Ones ,"Creatures of twisted, alien magic with horrifying forms and reality-bending abilities.
",Aberations
31,Shadow-Serf ,"Unnatural doppelgangers created by powerful wizards to be unfailingly faithful servants.
",Aberations
32,Soulrippers ,"As a soulripper you can drain the life out of a creature with your deathstare.
",Aberations
33,Swordwing ,"Humanoid insects of the Underdark
",Aberations
34,Talto ,"Taltos are aberrations in human form who attach themselves to those with magic powers
",Aberations
35,Tentacle Mass ,"Aberrant creatures of unknown origin.
",Aberations
36,Tortithid ,"Amalgamation between alien aberration and turtle, gives these creatures varying traits from both races
",Aberations
37,Tsukumogami ,"No matter the item your spirit has manifested in, you share with other tsukumogami certain traits.
",Aberations
38,Typhon Anthrophantasmus ,"Alien creatures created to serve the Apex, but wait...
",Aberations
39,Tyranid ,"Hive minded creatures leaving destruction in their wake
",Aberations
40,Verdichco ,"Horrific aberrations made of former humans
",Aberations
41,"Voidling, Variant ","Born from the void through mortal mothers, their traits mostly mimic those of their mothers.
",Aberations
42,Voidling ,"A secretive race literally born of the void.
",Aberations
43,Vologovoi ,"Alien worms sent in human form
",Aberations
44,Wormhearted Ones ,"The result of an eldritch union between aberrant worms and humanoid flesh.
",Aberations
45,Yith ,"The great researchers of times, places and realities, whose minds are far, far older than their bodies.
",Aberations
46,Zaa' Hraa ,"Offspring of the Ultra-Mind with psychic power that is unmatched.
",Aberations
47,Zardak ,"A warrior race with an ugly face
",Aberations
1,Aquaebant ,"A race of aquatic humanoids with features like the original dwellers of the deep.
",Beasts
2,Armordillo ,"Armordillos, above all, are sturdy, but typically will fall into being either wise or strong. Their shells give them an innate source of protection, which they can utilize to full effect in combat.
",Beasts
3,"Avilus, Variant ","Optimistic songbirds that are just as likable as they are fast.
",Beasts
4,Avilus ,"Optimistic songbirds that are just as likable as they are fast.
",Beasts
5,Badger Lord ,"Titanic versions of badgers - based on the Badgers of Redwall.
",Beasts
6,Blaziken ,"Tall, flightless, bird-like humanoids that combine fire and martial arts.
",Beasts
7,Borosi ,"Feline shaped people with nightmare eyes.
",Beasts
8,Buizel ,"loving and social weasel otters.
",Beasts
9,Camelfolk ,"A reclusive race of bipedal camels.
",Beasts
10,Chimeroth ,"Lithe, strong, and intelligent beings that utilize their talents in ways that enable them to quickly adapt in order to survive.
",Beasts
11,Croagunk ,"Strangely musical creatures but underhanded fighters.
",Beasts
12,Delphox ,"Bipedal vulpine diviners with a mastery of fire magic and psionics.
",Beasts
13,Dredge ,"Communist naked mole rats.
",Beasts
14,Duerdog ,"Underground dogs with surprising intelligence and magical affinity
",Beasts
15,Educated Rodents ,"The Educated Rodents are a group of rare rats who have developed an exceptional intelligence. Small and unassuming, they still prove worthy allies and harsh enemies because of their pure cunning.
",Beasts
16,Exceed ,"Small creatures almost indistinguishable from house cats, but capable of walking on two legs and even growing wings.
",Beasts
17,Fey Prairie Dog ,"A humanoid prairie dog
",Beasts
18,Folivora ,"Sloth people with some nifty tricks of getting around
",Beasts
19,Fox'smanuh ,"Foxes in the shape of eastern dragons
",Beasts
20,Furret ,"Ferret-like townsfolk Pokemon with long striped bodies.
",Beasts
21,Gastrosapien ,"Gastrosapiens are large bipedal snail creatures native to swamps and other wetland areas.
",Beasts
22,Geitlan ,"Geitlan, known to many as Goatfolk, are a race of half-human half-goat humanoids similar to Satyrs or Minotaur.
",Beasts
23,Githet ,"The Githet are a race of silent, stealthy feline-folk that live within tropical areas of the world.
",Beasts
24,Gligar ,"Small, organized scorpion-bats that hunt in packs.
",Beasts
25,Goose ,"Small chaotic birds with a fury against all humanoids.
",Beasts
26,Granbull ,"Dog-fairies with an intimidating appearance but a timid heart.
",Beasts
27,Greninja ,"Bipedal frog pokemon that destroy enemies with ninja-like movements and large shurikens made of compressed water.
",Beasts
28,Hawlucha ,"Small, bird-like humanoids who love a good fight be it on the ground or in the air.
",Beasts
29,Helioptile ,"As very easy-going creatures, they are nomadic and get along with most, if not, all races.
",Beasts
30,Hive Being ,"Hive beings are humanoids composed entirely of insects or arachnids
",Beasts
31,Hog Folk ,"Pig-like beast-men, the descendants of an entire race cursed by their Gods.
",Beasts
32,Hylek ,"The Hylek are a species of alchemically-inclined tribal frog-men.
",Beasts
33,Incineroar ,"Violent, selfish feline pokemon who employ fire and dirty tactics to win their battles.
",Beasts
34,Insectoid ,"Bugs the size of you
",Beasts
35,Kobin ,"Small frilled reptilians, mutated by illithid intelligence.
",Beasts
36,Kurent ,"A race of furry, horned beasts with tusks and a long tongue that live in the mountains.
",Beasts
37,Kyoukotsu ,"""Crazy Bones"" for people who like mismatched skeletons.
",Beasts
38,Leogrel ,"Leonine mongrel creatures
",Beasts
39,Liontaur ,"Lion centaur race.
",Beasts
40,Lucario ,"Bipedal, aura-manipulating canines with a strong sense of loyalty and justice.
",Beasts
41,Lycanroc ,"Canine creatures whose growth and development is affected by the time of day.
",Beasts
42,Lynian ,"Your lynian character still retains many traits from its primal feline ancestors, with the added enrichment of higher intelligence thrown in the mix.
",Beasts
43,Majmun ,"A race of highly tribal and spiritual ape-men that descended from were-apes
",Beasts
44,Mammuthari ,"An ancient lineage of huge, woolly beastmen. The ancestors of of all modern Loxodon.
",Beasts
45,Meowth ,"Adorable yet fickle feline Pokemon who bring luck and trouble in equal measure.
",Beasts
46,Miltank ,"Friendly bovines whose milk is as potent as its attacks.
",Beasts
47,Mogogol ,"Mogogols share many traits with the frogs from with they are descended.
",Beasts
48,Monrel ,"Tribal vulpine beings with flaps
",Beasts
49,Pandafolk ,"Peaceful, slow people that commune with a spirit beast envoy from a dragon.
",Beasts
50,Phoelarch ,"Humanoids believed to be descended from the legendary phoenix.
",Beasts
51,Quillback ,"A race of porcupine-like humanoids.
",Beasts
52,Rabgon ,"Lapine dragons
",Beasts
53,Raesokeran Canis ,"Anthropomorphic wolves, jackals, and coyotes from the continent of Raesokera
",Beasts
54,Raesokeran Vulpis ,"Anthropomorphic Fox races from the continent of Raesokera
",Beasts
55,Ramanaur ,"Race of nomadic, violent rams
",Beasts
56,Ran ,"Do not take them for fragile creatures, while few races are as amicable and good-natured, the amphibious Ran will never allow their principles to go undefended.
",Beasts
57,Rhinokin ,"Humanoid rhino people.
",Beasts
58,Roc Roc ,"""Ca Ca! Ca Ca Ca Ca! *Ahem* Caw. Caw. CAW.""
",Beasts
59,Rodentia ,"Rodentia are sensible and level-headed, and they are generally a kind and diplomatic folk, but are quite prepared to swing a cudgel when necessary.
",Beasts
60,Selkie ,"Aquatic creatures that shapeshift between human and seal.
",Beasts
61,Serperior ,"Beautiful, regal-looking serpents that possess a glare that can terrify most any creature.
",Beasts
62,Skorupi ,"Oversized, small scorpions with savage venom
",Beasts
63,Slann ,"Unmatched masters of magic and leaders of the lizardmen races.
",Beasts
64,Smeargle ,"Bipedal canine pokemon who create art with paint-oozing tails.
",Beasts
65,Snorlax ,"Rotund, bear-like pokemon sleep, eat, and then sleep some more.
",Beasts
66,Solaire ,"Boof! Solaire are a race of mischievous fighters and thieves who resemble boston terriers.
",Beasts
67,Spirit Fox ,"Foxes that practice magic
",Beasts
68,Swampert ,"Big and durable creatures capable of moving or crushing a boulder.
",Beasts
69,Sylveon ,"Eevee's arguably most fashionable evolution
",Beasts
70,Trapinch ,"Small but aggressive antlions who trap prey in inescapable sand pits and crush them with powerful jaws.
",Beasts
71,Ursian ,"Ursians are beings in tune with nature but also advanced technologically. They resemble bears in many ways.
",Beasts
72,Vastayan ,"Half Human and half ancient beast
",Beasts
73,Vulpelupe ,"Fox wolf people
",Beasts
74,Wolfborn ,"Descendants of lycanthropes who are feared and misunderstood. Their kind are very, very few in number, but those that are alive are still hunted like the monsters they are not.
",Beasts
75,Wolfkind ,"Long-lived anthroporphic wolves, wolfkin are powerful hunters and fleet of foot.
",Beasts
76,Wolftaur ,"Basically a centaur but with a lupine half.
",Beasts
77,Wumpus ,"Small magical pig-like creatures.
",Beasts
78,Yanma ,"Small, semi-aggressive dragonfly creatures
",Beasts
79,Zangoose ,"Fluffy mongoose pokemon with long, sharp claws and a hatred for snakes.
",Beasts
80,Zoroark ,"Sly, black fox pokemon who are experts at disorienting foes with their mastery over illusion.
",Beasts
1,"Angel, Variant ","Angels are a powerful race of creatures created by good-aligned Gods.
",Celestials
2,Black Blood Angel ,"Angels blackened by betrayal.
",Celestials
3,Console Patron Unit ,"You are a down to earth being powered by faith; you mingle with the people to garner their respect and reverence.
",Celestials
4,Demigod ,"The offspring of a god and a mortal, a hero of days, a Demigod.
",Celestials
5,Draconic Angel ,"A crossbreed between an Angel and a Dragon, Draconic Angels inherit the best of both worlds.
",Celestials
6,Fallen Angel ,"Once created for the sake of their deity, now serve themselves.
",Celestials
7,Half-Solar ,"Celestials who were created in the like of solars to rid evil on the Material Plane.
",Celestials
8,Headless Angels ,"Reapers born of the headless and the heavenly
",Celestials
9,Horned Angel ,"Angels with horns. And scars.
",Celestials
10,Hound Archon ,"Canine-headed celestial defenders of the innocent and the helpless against evil.
",Celestials
11,Luma ,"Lumas are an interesting race to say the least, with differing cases based on their subrace!
",Celestials
12,Nephilim ,"Those who were cast out. The spawn of a celestial and a humanoid. A Nephilim.
",Celestials
13,Pnévma ,"Creatures of Light, magic oriented radiant spellcasters.
",Celestials
14,Sorath ,"Creatures from the upper planes that have radiant blessings.
",Celestials
15,Sunborn ,"Sun headed people of the stars
",Celestials
16,Suva ,"Beautiful celestials that comfort their allies and crush their foes.
",Celestials
17,Yama ,"You are one of the supreme judges of the afterlife; your very presence demands respect, as you have come to lay judgement.
",Celestials
1,A.D.A.M. Unit ,"Weapons of war refined in towers until they can claim a soul of their own.
",Constructs
2,A.I. ,"Sometimes, machines can be just as human as the rest of us.
",Constructs
3,Aloii ,"Highly logical, liquid metal beings with a thirst for knowledge.
",Constructs
4,Amaltel ,"Living metal from the depths below, usually in the form of something roughly humanoid
",Constructs
5,"Android, 2nd Variant ","Frightening fusions of man and machine.
",Constructs
6,"Android, Variant ","Living constructs with a soul.
",Constructs
7,Android ,"You were created and programmed for a specific purpose in mind.
",Constructs
8,Animated Armor ,"A suit of armor that is given life through magic and is assigned a task. Often they are left behind by their creators, left to lie dormant for hundreds of years only to wake up and seek out a new purpose.
",Constructs
9,Aran-oids ,"A robotic humanoid race built to help in a career or adventures.
",Constructs
10,Argile ,"Clay men with the souls of a human, though they don't show them that much.
",Constructs
11,Automaton ,"Conscious and aware machines, made not by magic or divine power, but by science.
",Constructs
12,Baeron ,"Red humanoids risen from clay
",Constructs
13,Banette ,"Cursed dolls who seek revenge against the ones who threw them away.
",Constructs
14,Blessed Automaton ,"Created by man, ordained by the gods.
",Constructs
15,Candlehead ,"Candleheads are a race of waxy-skinned humanoids bearing an ethereal flame atop their heads.
",Constructs
16,Clockwork ,"Constructs built to mimic certain races.
",Constructs
17,Clockwork Man ,"Constructs created through mechanics rather than magic.
",Constructs
18,Corebot ,"These bots have several forms, and as such have different abilities for every form. But, a few things are common.
",Constructs
19,Cybertronian ,"Talking robots that transform into any manner of vehicles.
",Constructs
20,Cyborg ,"A race whose physical abilities are extended beyond normal limitations by mechanical elements built into the body.
",Constructs
21,Devil Gear ,"Mechanical servants born and bred in the Underworld
",Constructs
22,Droid (5e Class),"Statement:Constructed by intelligent beings, Robots can fulfill a variety of purposes. Statement:Robots can be purposed for maintenance, protocol, negotiations, war or assasination.
",Constructs
23,Evnir ,"A clockwork race of unknown origins, even to themselves.
",Constructs
